,"Black (E/e + a/a , E/E + a/a)",,,Bay (E/_ + A/_),,,"Chestnut (e/_ + A/_, a/a)",,,"Flaxen chestnut (e/_ +A/A, A/a, a/a)",,,Wild bay (E/_ + A+/_),,,Seal Brown (E/_ + At/_)
Base,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dun (D/_),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
nd1 (nd1/_),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cream (CR/n),Heterozygous cream does not show on this base,,,,,,,,,Flaxen is hidden by cream,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cream + nd1 (CR/n + nd1/_),Heterozygous cream does not show on this base,,,,,,,,,Flaxen is hidden by cream,,,,,,
Cream + Dun (CR/n + D/_),Heterozygous cream does not show on this base,,,,,,,,,Flaxen is hidden by cream,,,,,,
Homozygous Cream (CR/CR),,,,,,,,,,Flaxen is hidden by cream,,,,,,
Homozygous Cream + nd1 (CR/CR + nd1/_),,,,,,,,,,Flaxen is hidden by cream,,,,,,
Homozygous Cream + Dun (CR/CR + D/_),,,,,,,,,,Flaxen is hidden by cream,,,,,,
Sooty (sty/_),Sooty does not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sooty + nd1 (sty/_ + nd1/_),Sooty does not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals
Sooty + Dun (sty/_ + D/_),Sooty does not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Sooty does not show on foals
"Sooty + Cream (sty/n, sty/sty + CR/n)",Sooty and heterozygous cream do not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Flaxen is hidden by cream,,,Sooty does not show on foals,,,Sooty does not show on foals
,,,,,,,,,,,,,,,,
Sooty + Cream + nd1 (sty/_ + CR_n + nd1/_),Sooty and heterozygous cream do not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Flaxen is hidden by cream,,,Sooty does not show on foals,,,Sooty does not show on foals
Sooty + Cream + Dun (sty/_ + CR/n + D/_),Sooty and heterozygous cream do not show on this base,,,Sooty does not show on foals,,,Sooty does not show on foals,,,Flaxen is hidden by cream,,,Sooty does not show on foals,,,Sooty does not show on foals
